window,method,date,ret
develop_validate,baseline,2010-12-09,-0.00019698
develop_validate,baseline,2010-12-10,-0.0001971
develop_validate,baseline,2010-12-12,7.531e-05
develop_validate,baseline,2010-12-13,0.002752
develop_validate,baseline,2010-12-14,-0.00248585
develop_validate,baseline,2010-12-15,-0.00387185
develop_validate,baseline,2010-12-16,0.0004227
develop_validate,baseline,2010-12-17,0.0014743
develop_validate,baseline,2010-12-19,2.606e-05
develop_validate,baseline,2010-12-20,0.00159306
develop_validate,baseline,2010-12-21,0.00047897
develop_validate,baseline,2010-12-22,0.00072204
develop_validate,baseline,2010-12-23,0.00039315
develop_validate,baseline,2010-12-26,-0.00013046
develop_validate,baseline,2010-12-27,0.00050116
develop_validate,baseline,2010-12-28,0.0014464
develop_validate,baseline,2010-12-29,0.00290222
develop_validate,baseline,2010-12-30,-0.00071955
develop_validate,baseline,2010-12-31,0.00404276
develop_validate,baseline,2011-01-02,0.00015186
develop_validate,baseline,2011-01-03,0.00162123
develop_validate,baseline,2011-01-04,-0.00348842
develop_validate,baseline,2011-01-05,-0.00073875
develop_validate,baseline,2011-01-06,-0.00182884
develop_validate,baseline,2011-01-07,-0.00089545
develop_validate,baseline,2011-01-09,-0.00024678
develop_validate,baseline,2011-01-10,0.00152987
develop_validate,baseline,2011-01-11,0.00166993
develop_validate,baseline,2011-01-12,0.00494987
develop_validate,baseline,2011-01-13,0.00211363
develop_validate,baseline,2011-01-14,0.00027626
develop_validate,baseline,2011-01-16,0.00018179
develop_validate,baseline,2011-01-17,-0.00105767
develop_validate,baseline,2011-01-18,0.00345383
develop_validate,baseline,2011-01-19,-0.00110577
develop_validate,baseline,2011-01-20,-0.00349899
develop_validate,baseline,2011-01-21,0.00282086
develop_validate,baseline,2011-01-23,0.00028697
develop_validate,baseline,2011-01-24,0.0013257
develop_validate,baseline,2011-01-25,-0.00182232
develop_validate,baseline,2011-01-26,0.00301681
develop_validate,baseline,2011-01-27,-0.00061054
develop_validate,baseline,2011-01-28,-0.0012172
develop_validate,baseline,2011-01-30,-0.00110568
develop_validate,baseline,2011-01-31,0.00427434
develop_validate,baseline,2011-02-01,0.00434638
develop_validate,baseline,2011-02-02,0.0012903
develop_validate,baseline,2011-02-03,-0.00137574
develop_validate,baseline,2011-02-04,-0.00086766
develop_validate,baseline,2011-02-06,0.0001405
develop_validate,baseline,2011-02-07,-9.566e-05
develop_validate,baseline,2011-02-08,0.00108943
develop_validate,baseline,2011-02-09,0.00207575
develop_validate,baseline,2011-02-10,-0.00276903
develop_validate,baseline,2011-02-11,-0.00028543
develop_validate,baseline,2011-02-13,0.00055601
develop_validate,baseline,2011-02-14,0.00074412
